income,age,sex,employment,education
68200,46,Female,Federal government employee,"some college credit, no degree"
65000,28,Female,Employee of a private for profit,Bachelor's degree
50000,44,Male,Employee of a private for profit,"some college credit, no degree"
59000,47,Male,Employee of a private for profit,no high school diploma
30000,34,Male,Employee of a private for profit,Regular high school diploma
10000,44,Female,Self employed not incorporated,no high school diploma
121600,45,Male,Employee of a private for profit,Master's degree
22000,28,Female,Employee of a private for profit,Associate's degree
65000,34,Male,Employee of a private for profit,Bachelor's degree
30000,36,Male,Employee of a private for profit,Regular high school diploma
52000,46,Female,Employee of a private for profit,"some college credit, no degree"
45700,46,Female,Employee of a private for profit,Regular high school diploma
54000,47,Female,Private not-for-profit employee,Master's degree
250000,39,Male,Private not-for-profit employee,Professional degree
36000,29,Female,Local government employee,Regular high school diploma
110000,28,Female,Employee of a private for profit,Bachelor's degree
4300,47,Female,Employee of a private for profit,no high school diploma
62004,35,Male,Employee of a private for profit,Master's degree
95000,29,Female,Employee of a private for profit,Bachelor's degree
42000,46,Female,Private not-for-profit employee,"some college credit, no degree"
36000,45,Female,Employee of a private for profit,Associate's degree
1.00E+05,27,Male,Employee of a private for profit,Master's degree
50000,38,Male,Employee of a private for profit,no high school diploma
32000,35,Male,Employee of a private for profit,Regular high school diploma
65000,28,Female,Employee of a private for profit,Bachelor's degree
35000,20,Female,Employee of a private for profit,"some college credit, no degree"
33300,38,Female,Employee of a private for profit,no high school diploma
98000,46,Female,Employee of a private for profit,"some college credit, no degree"
52000,43,Female,Employee of a private for profit,Bachelor's degree
62000,29,Male,Private not-for-profit employee,"some college credit, no degree"
48000,24,Female,Employee of a private for profit,Associate's degree
90000,41,Male,Employee of a private for profit,Regular high school diploma
28800,25,Male,Employee of a private for profit,"some college credit, no degree"
60000,26,Male,State government employee,"some college credit, no degree"
95000,47,Male,Local government employee,Bachelor's degree
13000,49,Female,Employee of a private for profit,Regular high school diploma
5000,34,Female,Federal government employee,"some college credit, no degree"
105000,46,Female,Employee of a private for profit,Bachelor's degree
95000,48,Female,Employee of a private for profit,Bachelor's degree
131000,28,Male,Employee of a private for profit,Master's degree
72000,45,Male,Employee of a private for profit,Associate's degree
80000,28,Male,Employee of a private for profit,Bachelor's degree
42000,46,Female,Employee of a private for profit,"some college credit, no degree"
28600,34,Male,Employee of a private for profit,"some college credit, no degree"
40000,38,Male,Employee of a private for profit,"some college credit, no degree"
5700,23,Female,Employee of a private for profit,"some college credit, no degree"
44000,45,Male,Employee of a private for profit,"some college credit, no degree"
30000,25,Female,Employee of a private for profit,Regular high school diploma
16000,23,Male,Employee of a private for profit,Regular high school diploma
30000,28,Male,Employee of a private for profit,Professional degree
30000,43,Female,Employee of a private for profit,no high school diploma
100400,40,Female,Employee of a private for profit,Bachelor's degree
101000,44,Female,Employee of a private for profit,Professional degree
55000,30,Female,Employee of a private for profit,Bachelor's degree
17200,33,Male,Employee of a private for profit,Regular high school diploma
63000,29,Female,Employee of a private for profit,Master's degree
4000,23,Male,Employee of a private for profit,Master's degree
48000,20,Male,Employee of a private for profit,Regular high school diploma
48000,48,Male,Employee of a private for profit,no high school diploma
120000,43,Male,Employee of a private for profit,Master's degree
135000,35,Male,Employee of a private for profit,Bachelor's degree
30000,33,Female,Private not-for-profit employee,Doctorate degree
36000,42,Male,Employee of a private for profit,no high school diploma
21400,26,Male,Employee of a private for profit,"some college credit, no degree"
35000,29,Male,Employee of a private for profit,Associate's degree
52000,46,Male,Local government employee,Associate's degree
20000,37,Male,Employee of a private for profit,"some college credit, no degree"
104000,40,Male,Employee of a private for profit,"some college credit, no degree"
30000,48,Male,Employee of a private for profit,Regular high school diploma
9600,24,Female,Employee of a private for profit,"some college credit, no degree"
38000,27,Female,Employee of a private for profit,Regular high school diploma
56000,41,Female,Employee of a private for profit,Regular high school diploma
1.00E+05,43,Female,State government employee,Professional degree
105000,48,Female,Local government employee,Bachelor's degree
111300,41,Male,Local government employee,"some college credit, no degree"
35020,33,Male,Employee of a private for profit,Master's degree
60000,39,Male,Employee of a private for profit,no high school diploma
25000,32,Male,Employee of a private for profit,Bachelor's degree
45500,26,Female,Local government employee,Master's degree
78000,46,Male,Local government employee,Bachelor's degree
86000,44,Female,Local government employee,Bachelor's degree
80000,39,Male,Employee of a private for profit,Master's degree
183500,48,Female,Employee of a private for profit,Master's degree
30000,31,Male,Employee of a private for profit,Bachelor's degree
5400,26,Male,Employee of a private for profit,"some college credit, no degree"
66000,37,Female,Employee of a private for profit,"some college credit, no degree"
20000,41,Male,Local government employee,"some college credit, no degree"
6000,49,Male,Self employed not incorporated,Bachelor's degree
50000,36,Female,Employee of a private for profit,Associate's degree
45400,49,Male,State government employee,Regular high school diploma
25000,44,Male,Self employed not incorporated,Regular high school diploma
36000,43,Male,Employee of a private for profit,no high school diploma
21000,38,Female,Employee of a private for profit,"some college credit, no degree"
2000,21,Male,Employee of a private for profit,Regular high school diploma
60000,43,Male,Employee of a private for profit,no high school diploma
14600,33,Female,Employee of a private for profit,Regular high school diploma
22000,30,Male,Employee of a private for profit,"some college credit, no degree"
15000,24,Female,Employee of a private for profit,"some college credit, no degree"
